state,abb,year,price
Florida,FL,2009,145.65625
Georgia,GA,2009,108.4025
Illinois,IL,2009,127.4325
Massachusetts,MA,2009,151.8183333
Michigan,MI,2009,72.0725
Minnesota,MN,2009,118.2508333
North Carolina,NC,2009,119.6458333
New York,NY,2009,174.1116667
Nevada,NV,2009,110.21
Ohio,OH,2009,103.2291667
Oregon,OR,2009,149.5916667
Texas,TX,2009,117.4866667
Washington,WA,2009,149.7258333
Arizona,AZ,2010,108.6375
California,CA,2010,158.0041667
Colorado,CO,2010,126.725
District of Columbia,DC,2010,182.4441667
Florida,FL,2010,141.1954167
Georgia,GA,2010,105.7675
Illinois,IL,2010,122.6633333
Massachusetts,MA,2010,154.6858333
Michigan,MI,2010,69.5775
Minnesota,MN,2010,121.8833333
North Carolina,NC,2010,115.5475
New York,NY,2010,171.4166667
Nevada,NV,2010,101.7416667
Ohio,OH,2010,103.8733333
Oregon,OR,2010,144.7925
Texas,TX,2010,117.5608333
Washington,WA,2010,144.3833333
Arizona,AZ,2011,100.7358333
California,CA,2011,151.3797222
Colorado,CO,2011,124.05
District of Columbia,DC,2011,181.71
Florida,FL,2011,133.1629167
Georgia,GA,2011,98.35666667
Illinois,IL,2011,114.3325
Massachusetts,MA,2011,151.5858333
Michigan,MI,2011,69.62333333
Minnesota,MN,2011,112.0008333
North Carolina,NC,2011,111.4025
New York,NY,2011,166.07
Nevada,NV,2011,95.11333333
Ohio,OH,2011,99.42916667
Oregon,OR,2011,134.4383333
Texas,TX,2011,114.7591667
Washington,WA,2011,134.875
Arizona,AZ,2012,114.8316667
California,CA,2012,153.9727778
Colorado,CO,2012,129.7241667
District of Columbia,DC,2012,185.615
Florida,FL,2012,138.4
Georgia,GA,2012,90.71583333
Illinois,IL,2012,111.1466667
Massachusetts,MA,2012,152.2991667
Michigan,MI,2012,75.205
Minnesota,MN,2012,118.7258333
North Carolina,NC,2012,113.2766667
New York,NY,2012,162.1816667
Nevada,NV,2012,94.8675
Ohio,OH,2012,99.48083333
Oregon,OR,2012,136.8058333
Texas,TX,2012,118.4158333
Washington,WA,2012,137.7508333
Arizona,AZ,2013,137.3066667
California,CA,2013,184.2247222
Colorado,CO,2013,142.1508333
District of Columbia,DC,2013,198.3975
Florida,FL,2013,156.7554167
Georgia,GA,2013,107.3625
Illinois,IL,2013,120.5475
Massachusetts,MA,2013,163.2816667
Michigan,MI,2013,88.4625
Minnesota,MN,2013,132.3883333
North Carolina,NC,2013,121.8491667
New York,NY,2013,167.6225
Nevada,NV,2013,117.8708333
Ohio,OH,2013,103.875
Oregon,OR,2013,153.345
Texas,TX,2013,128.355
Washington,WA,2013,153.9441667
Arizona,AZ,2014,146.3816667
California,CA,2014,205.2113889
Colorado,CO,2014,153.225
District of Columbia,DC,2014,207.6341667
Florida,FL,2014,173.1058333
Georgia,GA,2014,117.115
Illinois,IL,2014,127.6483333
Massachusetts,MA,2014,173.6275
Michigan,MI,2014,96.425
Minnesota,MN,2014,140.0466667
North Carolina,NC,2014,126.8725
New York,NY,2014,174.19
Nevada,NV,2014,134.42
Ohio,OH,2014,105.7191667
Oregon,OR,2014,167.2275
Texas,TX,2014,139.1266667
Washington,WA,2014,167.05
Arizona,AZ,2015,152.7841667
California,CA,2015,219.8277778
Colorado,CO,2015,168.89
District of Columbia,DC,2015,210.0225
Florida,FL,2015,185.6075
Georgia,GA,2015,123.5916667
Illinois,IL,2015,130.1258333
Massachusetts,MA,2015,180.6566667
Michigan,MI,2015,101.3308333
Minnesota,MN,2015,144.8475
North Carolina,NC,2015,133.2033333
New York,NY,2015,178.6158333
Nevada,NV,2015,142.3441667
Ohio,OH,2015,107.8875
Oregon,OR,2015,181.875
Texas,TX,2015,151.47
Washington,WA,2015,180.28
